Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.9994382219725431,0.8666666666666667,0.7959183673469388,0.8297872340425532,0.9551234129695773
XGBoost,0.9970682209192093,0.35564853556485354,0.8673469387755102,0.5044510385756676,0.9737645603401743
